2825,Huyện Quảng Xương,28,25
2826,Huyện Tĩnh Gia,28,26
2827,Huyện Yên Định,28,27
2900,Tỉnh Nghệ An,29,0
2901,Thành phố Vinh,29,1
2902,Thị xã Cửa Lò,29,2
2903,Huyện Quỳ Châu,29,3
2904,Huyện Quỳ Hợp,29,4
2905,Huyện Nghĩa Đàn,29,5
2906,Huyện Quỳnh Lưu,29,6
2907,Huyện Kỳ Sơn,29,7
2908,Huyện Tương Dương,29,8
2909,Huyện Con Cuông,29,9
2910,Huyện Tân Kỳ,29,10
2911,Huyện Yên Thành,29,11
2912,Huyện Diễn Châu,29,12
2913,Huyện Anh Sơn,29,13
2914,Huyện Đô Lương,29,14
2915,Huyện Thanh Chương,29,15
2916,Huyện Nghi Lộc,29,16
2917,Huyện Nam Đàn,29,17
2918,Huyện Hưng Nguyên,29,18
2919,Huyện Quế Phong,29,19
3000,Tỉnh Hà Tĩnh,30,0
3001,Thành phố Hà Tĩnh,30,1
3002,Thị xã Hồng Lĩnh,30,2
3003,Huyện Hương Sơn,30,3
3004,Huyện Đức Thọ,30,4
3005,Huyện Nghi Xuân,30,5
3006,Huyện Can Lộc,30,6
3007,Huyện Hương Khê,30,7
3008,Huyện Thạch Hà,30,8
3009,Huyện Cẩm Xuyên,30,9
3010,Huyện Kỳ Anh,30,10
3011,Huyện Vũ Quang,30,11
3012,Huyện Lộc Hà,30,12
3100,Tỉnh Quảng Bình,31,0
3101,Thành phố Đồng Hới,31,1
3102,Huyện Tuyên Hóa,31,2
3103,Huyện Minh Hóa,31,3
3104,Huyện Quảng Trạch,31,4
3105,Huyện Bố Trạch,31,5
3106,Huyện Quảng Ninh,31,6
3107,Huyện Lệ Thủy,31,7
3200,Tỉnh Quảng Trị,32,0
3201,Thị xã Đông Hà,32,1
3202,Thị xã Quảng Trị,32,2
3203,Huyện Vĩnh Linh,32,3
3204,Huyện Gio Linh,32,4
3205,Huyện Cam Lộ,32,5
3206,Huyện Triệu Phong,32,6
3207,Huyện Hải Lăng,32,7
3208,Huyện Hướng Hóa,32,8
3209,Huyện Đăk Rông,32,9
3210,Huyện đảo Cồn Cỏ,32,10
3300,Tỉnh Thừa Thiên - Huế,33,0
3301,Thành phố Huế,33,1
3302,Huyện Phong Điền,33,2
3303,Huyện Quảng Điền,33,3
3304,Huyện Hương Trà,33,4
3305,Huyện Phú Vang,33,5
3306,Huyện Hương Thuỷ,33,6
3307,Huyện Phú Lộc,33,7
3308,Huyện Nam Đông,33,8
3309,Huyện A Lưới,33,9
3400,Tỉnh Quảng Nam,34,0
3401,Thành phố Tam Kỳ,34,1
3402,Thành phố Hội An,34,2
3403,Huyện Duy Xuyên,34,3
3404,Huyện Điện Bàn,34,4
3405,Huyện Đại Lộc,34,5
3406,Huyện Quế Sơn,34,6
3407,Huyện Hiệp Đức,34,7
3408,Huyện Thăng Bình,34,8
3409,Huyện Núi Thành,34,9
3410,Huyện Tiên Phước,34,10
3411,Huyện Bắc Trà My,34,11
3412,Huyện Đông Giang,34,12
3413,Huyện Nam Giang,34,13
3414,Huyện Phước Sơn,34,14
3415,Huyện Nam Trà My,34,15
3416,Huyện Tây Giang,34,16
3417,Huyện Phú Ninh,34,17
3418,Huyện Nông Sơn,34,18
3500,Tỉnh Quảng Ngãi,35,0
3501,Thành phố Quảng Ngãi,35,1
3502,Huyện Lý Sơn,35,2
3503,Huyện Bình Sơn,35,3
3504,Huyện Trà Bồng,35,4
3505,Huyện Sơn Tịnh,35,5
3506,Huyện Sơn Hà,35,6
3507,Huyện Tư Nghĩa,35,7
3508,Huyện Nghĩa Hành,35,8
3509,Huyện Minh Long,35,9
3510,Huyện Mộ Đức,35,10
3511,Huyện Đức Phổ,35,11
3512,Huyện Ba Tơ,35,12
3513,Huyện Sơn Tây,35,13
3514,Huyện Tây Trà,35,14
3600,Tỉnh Kon Tum,36,0
3601,Thị xã Kon Tum,36,1
3602,Huyện Đắk Glei,36,2
3603,Huyện Ngọc Hồi,36,3
3604,Huyện Đắk Tô,36,4
3605,Huyện Sa Thầy,36,5
3606,Huyện Kon Plong,36,6
3607,Huyện Đắk Hà,36,7
3608,Huyện Kon Rẫy,36,8
3609,Huyện Tu Mơ Rông,36,9
3700,Tỉnh Bình Định,37,0
3701,Thành phố Quy Nhơn,37,1
3702,Huyện An Lão,37,2
3703,Huyện Hoài Ân,37,3
3704,Huyện Hoài Nhơn,37,4
3705,Huyện Phù Mỹ,37,5
3706,Huyện Phù Cát,37,6
3707,Huyện Vĩnh Thạnh,37,7
3708,Huyện Tây Sơn,37,8
3709,Huyện Vân Canh,37,9
3710,Huyện An Nhơn,37,10
3711,Huyện Tuy Phước,37,11
3800,Tỉnh Gia Lai,38,0
3801,Thành phố Pleiku,38,1
3802,Huyện Chư Păh,38,2
3803,Huyện Mang Yang,38,3
3804,Huyện Kbang,38,4
3805,Thị xã An Khê,38,5
3806,Huyện Kông Chro,38,6
3807,Huyện Đức Cơ,38,7
3808,Huyện Chưprông,38,8
3809,Huyện Chư Sê,38,9
3810,Huyện Ayunpa,38,10
3811,Huyện Krông Pa,38,11
3812,Huyện Ia Grai,38,12
3813,Huyện Đăk Đoa,38,13
3814,Huyện Ia Pa,38,14
3815,Huyện Đăk Pơ,38,15
3816,Huyện Phú Thiện,38,16
3900,Tỉnh Phú Yên,39,0
3901,Thành phố Tuy Hòa,39,1
3902,Huyện Đồng Xuân,39,2
3903,Huyện Sông Cầu,39,3
3904,Huyện Tuy An,39,4
3905,Huyện Sơn Hòa,39,5
3906,Huyện Sông Hinh,39,6
3907,Huyện Đông Hòa,39,7
3908,Huyện Phú Hoà,39,8
3909,Huyện Tây Hòa,39,9
4000,Tỉnh Đăk Lăk,40,0
4001,Thành phố Buôn Ma Thuột,40,1
4002,Huyện Ea H Leo,40,2
4003,Huyện Krông Buk,40,3
4004,Huyện Krông Năng,40,4
4005,Huyện Ea Súp,40,5
4006,Huyện Cư M gar,40,6
4007,Huyện Krông Pắc,40,7
4008,Huyện Ea Kar,40,8
4009,Huyện M'Đrăk,40,9
4010,Huyện Krông Ana,40,10
4011,Huyện Krông Bông,40,11
4012,Huyện Lăk,40,12
4013,Huyện Buôn Đôn,40,13
4014,Huyện Cư Kuin,40,14
4100,Tỉnh Khánh Hòa,41,0
4101,Thành phố Nha Trang,41,1
4102,Huyện Vạn Ninh,41,2
4103,Huyện Ninh Hòa,41,3
4104,Huyện Diên Khánh,41,4
4105,Huyện Khánh Vĩnh,41,5
4106,Thị xã Cam Ranh,41,6
4107,Huyện Khánh Sơn,41,7
4108,Huyện Trường Sa,41,8
4109,Huyện Cam Lâm,41,9
4200,Tỉnh Lâm Đồng,42,0
4201,Thành phố Đà Lạt,42,1
4202,Thị xã Bảo Lộc,42,2
4203,Huyện Đức Trọng,42,3
4204,Huyện Di Linh,42,4
4205,Huyện Đơn Dương,42,5
4206,Huyện Lạc Dương,42,6
4207,Huyện Đạ Huoai,42,7
4208,Huyện Đạ Tẻh,42,8
4209,Huyện Cát Tiên,42,9
4210,Huyện Lâm Hà,42,10
